City alias,State short,State full,County,City,,site,ZIPCode,County,State,Lat,Long
Lexington,PA,Pennsylvania,LANCASTER,Lititz,,,,,,,
Millway,PA,Pennsylvania,LANCASTER,Lititz,,,,,,,
Poplar Grove,PA,Pennsylvania,LANCASTER,Lititz,,,,,,,
Kissel Hill,PA,Pennsylvania,LANCASTER,Lititz,,,,,,,
Lititz,PA,Pennsylvania,LANCASTER,Lititz,,,,,,,
Fairland,PA,Pennsylvania,LANCASTER,Lititz,,,,,,,
Speedwell,PA,Pennsylvania,LANCASTER,Lititz,,,,,,,
Brickerville,PA,Pennsylvania,LANCASTER,Lititz,,,,,,,
Lime Rock,PA,Pennsylvania,LANCASTER,Lititz,,,,,,,
Mastersonville,PA,Pennsylvania,LANCASTER,Manheim,,,,,,,
Old Line,PA,Pennsylvania,LANCASTER,Manheim,,,,,,,
Mount Hope,PA,Pennsylvania,LANCASTER,Manheim,,,,,,,
Manheim,PA,Pennsylvania,LANCASTER,Manheim,,,,,,,
Elstonville,PA,Pennsylvania,LANCASTER,Manheim,,,,,,,
Lancaster Junction,PA,Pennsylvania,LANCASTER,Manheim,,,,,,,
Sporting Hill,PA,Pennsylvania,LANCASTER,Manheim,,,,,,,
Elwyn Terrace,PA,Pennsylvania,LANCASTER,Manheim,,,,,,,
Marietta,PA,Pennsylvania,LANCASTER,Marietta,,,,,,,
Shocks Mills,PA,Pennsylvania,LANCASTER,Marietta,,,,,,,
Martindale,PA,Pennsylvania,LANCASTER,Martindale,,,,,,,
Maytown,PA,Pennsylvania,LANCASTER,Maytown,,,,,,,
Slackwater,PA,Pennsylvania,LANCASTER,Millersville,,,,,,,
Millersville,PA,Pennsylvania,LANCASTER,Millersville,,,,,,,
Donegal Springs,PA,Pennsylvania,LANCASTER,Mount Joy,,,,,,,
Florin,PA,Pennsylvania,LANCASTER,Mount Joy,,,,,,,
Donegal Heights,PA,Pennsylvania,LANCASTER,Mount Joy,,,,,,,
Farmdale,PA,Pennsylvania,LANCASTER,Mount Joy,,,,,,,
Mount Joy,PA,Pennsylvania,LANCASTER,Mount Joy,,,,,,,
Milton Grove,PA,Pennsylvania,LANCASTER,Mount Joy,,,,,,,
Mountville,PA,Pennsylvania,LANCASTER,Mountville,,,,,,,
Beartown,PA,Pennsylvania,LANCASTER,Narvon,,,,,,,
Churchtown,PA,Pennsylvania,LANCASTER,Narvon,,,,,,,
Fetterville,PA,Pennsylvania,LANCASTER,Narvon,,,,,,,
South Hermitage,PA,Pennsylvania,LANCASTER,Narvon,,,,,,,
Narvon,PA,Pennsylvania,LANCASTER,Narvon,,,,,,,
Groffdale,PA,Pennsylvania,LANCASTER,New Holland,,,,,,,
Laurelville,PA,Pennsylvania,LANCASTER,New Holland,,,,,,,
Greenbank,PA,Pennsylvania,LANCASTER,New Holland,,,,,,,
New Holland,PA,Pennsylvania,LANCASTER,New Holland,,,,,,,
Providence,PA,Pennsylvania,LANCASTER,New Providence,,,,,,,
Smithville,PA,Pennsylvania,LANCASTER,New Providence,,,,,,,
New Providnce,PA,Pennsylvania,LANCASTER,New Providence,,,,,,,
New Providence,PA,Pennsylvania,LANCASTER,New Providence,,,,,,,
Paradise,PA,Pennsylvania,LANCASTER,Paradise,,,,,,,
Harristown,PA,Pennsylvania,LANCASTER,Paradise,,,,,,,
Nickel Mines,PA,Pennsylvania,LANCASTER,Paradise,,,,,,,
Lapark,PA,Pennsylvania,LANCASTER,Paradise,,,,,,,
Leaman Place,PA,Pennsylvania,LANCASTER,Paradise,,,,,,,
Vintage,PA,Pennsylvania,LANCASTER,Paradise,,,,,,,
Bellemont,PA,Pennsylvania,LANCASTER,Paradise,,,,,,,
Iva,PA,Pennsylvania,LANCASTER,Paradise,,,,,,,
Wrightsdale,PA,Pennsylvania,LANCASTER,Peach Bottom,,,,,,,
New Texas,PA,Pennsylvania,LANCASTER,Peach Bottom,,,,,,,
Furniss,PA,Pennsylvania,LANCASTER,Peach Bottom,,,,,,,
Fulton,PA,Pennsylvania,LANCASTER,Peach Bottom,,,,,,,
Penn Hill,PA,Pennsylvania,LANCASTER,Peach Bottom,,,,,,,
Peach Bottom,PA,Pennsylvania,LANCASTER,Peach Bottom,,,,,,,
Eldora,PA,Pennsylvania,LANCASTER,Peach Bottom,,,,,,,
Oakryn,PA,Pennsylvania,LANCASTER,Peach Bottom,,,,,,,
Mcsparren,PA,Pennsylvania,LANCASTER,Peach Bottom,,,,,,,
Penryn,PA,Pennsylvania,LANCASTER,Penryn,,,,,,,
Mount Nebo,PA,Pennsylvania,LANCASTER,Pequea,,,,,,,
Martic Forge,PA,Pennsylvania,LANCASTER,Pequea,,,,,,,
Marticville,PA,Pennsylvania,LANCASTER,Pequea,,,,,,,
Pequea,PA,Pennsylvania,LANCASTER,Pequea,,,,,,,
Martic,PA,Pennsylvania,LANCASTER,Pequea,,,,,,,
Colemanville,PA,Pennsylvania,LANCASTER,Pequea,,,,,,,
Mechanics Grove,PA,Pennsylvania,LANCASTER,Quarryville,,,,,,,
Buck,PA,Pennsylvania,LANCASTER,Quarryville,,,,,,,
Quarryville,PA,Pennsylvania,LANCASTER,Quarryville,,,,,,,
Reamstown,PA,Pennsylvania,LANCASTER,Reamstown,,,,,,,
Refton,PA,Pennsylvania,LANCASTER,Refton,,,,,,,
Blainsport,PA,Pennsylvania,LANCASTER,Reinholds,,,,,,,
Vinemont,PA,Pennsylvania,LANCASTER,Reinholds,,,,,,,
Reinholds,PA,Pennsylvania,LANCASTER,Reinholds,,,,,,,
Swartzville,PA,Pennsylvania,LANCASTER,Reinholds,,,,,,,
Vere Cruz,PA,Pennsylvania,LANCASTER,Reinholds,,,,,,,
Rheems,PA,Pennsylvania,LANCASTER,Rheems,,,,,,,
Mascot,PA,Pennsylvania,LANCASTER,Ronks,,,,,,,
Soudersburg,PA,Pennsylvania,LANCASTER,Ronks,,,,,,,
Ronks,PA,Pennsylvania,LANCASTER,Ronks,,,,,,,
Jay Advertising,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Lancaster,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Forest Knolls,PA,Pennsylvania,LANCASTER,Silver Spring,,,,,,,
Silver Spring,PA,Pennsylvania,LANCASTER,Silver Spring,,,,,,,
Smoketown,PA,Pennsylvania,LANCASTER,Smoketown,,,,,,,
Redrun,PA,Pennsylvania,LANCASTER,Stevens,,,,,,,
Stevens,PA,Pennsylvania,LANCASTER,Stevens,,,,,,,
Schoeneck,PA,Pennsylvania,LANCASTER,Stevens,,,,,,,
Edisonville,PA,Pennsylvania,LANCASTER,Strasburg,,,,,,,
Hessdale,PA,Pennsylvania,LANCASTER,Strasburg,,,,,,,
Strasburg,PA,Pennsylvania,LANCASTER,Strasburg,,,,,,,
Talmage,PA,Pennsylvania,LANCASTER,Talmage,,,,,,,
Terre Hill,PA,Pennsylvania,LANCASTER,Terre Hill,,,,,,,
Central Manor,PA,Pennsylvania,LANCASTER,Washington Boro,,,,,,,
Letort,PA,Pennsylvania,LANCASTER,Washington Boro,,,,,,,
Washington Boro,PA,Pennsylvania,LANCASTER,Washington Boro,,,,,,,
Wash Boro,PA,Pennsylvania,LANCASTER,Washington Boro,,,,,,,
West Willow,PA,Pennsylvania,LANCASTER,West Willow,,,,,,,
Herrville,PA,Pennsylvania,LANCASTER,Willow Street,,,,,,,
Willow,PA,Pennsylvania,LANCASTER,Willow Street,,,,,,,
Willow Street,PA,Pennsylvania,LANCASTER,Willow Street,,,,,,,
Baumgardner,PA,Pennsylvania,LANCASTER,Willow Street,,,,,,,
Lime Valley,PA,Pennsylvania,LANCASTER,Willow Street,,,,,,,
Witmer,PA,Pennsylvania,LANCASTER,Witmer,,,,,,,
Eden,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Neffsville,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Fruitville,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Oyster Point,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Roseville,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Meadia Heights,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Lyndon,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Willow View Heights,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Zooks Corner,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Fertility,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Rohrerstown,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Manor Ridge,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
West Lancaster,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
New Danville,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Roherstown,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Leaf Park,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
E Lancaster,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
East Lancaster,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Qvc Network Inc,PA,Pennsylvania,LANCASTER,Lancaster,,,,,,,
Center City,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Plunketts Crk,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Grampian Hls,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Vallamont Hls,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Proctor,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Warrensville,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Barbours,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Faxon,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Loyalsock,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Grimesville,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Heshbon Park,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Newberry,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Towncrest Vlg,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Old Lycoming,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Williamsport,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Oval,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Sylvan Dell,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Bastress,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
S Williamsprt,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
South Williamsport,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Collomsville,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
S Williamsport,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Armstrong,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Duboistown,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
S Williamspor,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Nisbet,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Bro Dart,PA,Pennsylvania,LYCOMING,Williamsport,,,,,,,
Antes Fort,PA,Pennsylvania,LYCOMING,Antes Fort,,,,,,,
Avis,PA,Pennsylvania,CLINTON,Avis,,,,,,,
Ross Siding,PA,Pennsylvania,LYCOMING,Cammal,,,,,,,
Jersey Shore,PA,Pennsylvania,LYCOMING,Cammal,,,,,,,
Cammal,PA,Pennsylvania,LYCOMING,Cammal,,,,,,,
Beech Flats,PA,Pennsylvania,BRADFORD,Canton,,,,,,,
East Canton,PA,Pennsylvania,BRADFORD,Canton,,,,,,,
Ward,PA,Pennsylvania,BRADFORD,Canton,,,,,,,
West Leroy,PA,Pennsylvania,BRADFORD,Canton,,,,,,,
Gleason,PA,Pennsylvania,BRADFORD,Canton,,,,,,,
Cedar Ledge,PA,Pennsylvania,BRADFORD,Canton,,,,,,,
Leroy,PA,Pennsylvania,BRADFORD,Canton,,,,,,,
Union Center,PA,Pennsylvania,BRADFORD,Canton,,,,,,,
Canton,PA,Pennsylvania,BRADFORD,Canton,,,,,,,
Castanea,PA,Pennsylvania,CLINTON,Castanea,,,,,,,
Leetonia,PA,Pennsylvania,LYCOMING,Cedar Run,,,,,,,
Jersey Shore,PA,Pennsylvania,LYCOMING,Cedar Run,,,,,,,
Cedar Run,PA,Pennsylvania,LYCOMING,Cedar Run,,,,,,,
Hepburnville,PA,Pennsylvania,LYCOMING,Cogan Station,,,,,,,
Powys,PA,Pennsylvania,LYCOMING,Cogan Station,,,,,,,
Hepburn Hts,PA,Pennsylvania,LYCOMING,Cogan Station,,,,,,,
Perryville,PA,Pennsylvania,LYCOMING,Cogan Station,,,,,,,
Fairlawn,PA,Pennsylvania,LYCOMING,Cogan Station,,,,,,,
Hepburn,PA,Pennsylvania,LYCOMING,Cogan Station,,,,,,,
Quiggleville,PA,Pennsylvania,LYCOMING,Cogan Station,,,,,,,
Cogan Station,PA,Pennsylvania,LYCOMING,Cogan Station,,,,,,,
Balls Mills,PA,Pennsylvania,LYCOMING,Cogan Station,,,,,,,
Haleeka,PA,Pennsylvania,LYCOMING,Cogan Station,,,,,,,
Lycoming,PA,Pennsylvania,LYCOMING,Cogan Station,,,,,,,
Cross Fork,PA,Pennsylvania,POTTER,Cross Fork,,,,,,,
Dewart,PA,Pennsylvania,NORTHUMBERLAND,Dewart,,,,,,,
Eagles Mere,PA,Pennsylvania,SULLIVAN,Eagles Mere,,,,,,,
Grover,PA,Pennsylvania,BRADFORD,Grover,,,,,,,
Hughesville,PA,Pennsylvania,LYCOMING,Hughesville,,,,,,,
Bryan Mills,PA,Pennsylvania,LYCOMING,Hughesville,,,,,,,
Tivoli,PA,Pennsylvania,LYCOMING,Hughesville,,,,,,,
Glen Mawr,PA,Pennsylvania,LYCOMING,Hughesville,,,,,,,
Okome,PA,Pennsylvania,LYCOMING,Jersey Mills,,,,,,,
Pine Creek,PA,Pennsylvania,LYCOMING,Jersey Mills,,,,,,,
Jersey Mills,PA,Pennsylvania,LYCOMING,Jersey Mills,,,,,,,
Larryville,PA,Pennsylvania,LYCOMING,Jersey Shore,,,,,,,
Oriole,PA,Pennsylvania,LYCOMING,Jersey Shore,,,,,,,
Salladasburg,PA,Pennsylvania,LYCOMING,Jersey Shore,,,,,,,
Jersey Shore,PA,Pennsylvania,LYCOMING,Jersey Shore,,,,,,,
Piatt,PA,Pennsylvania,LYCOMING,Jersey Shore,,,,,,,
Tomb,PA,Pennsylvania,LYCOMING,Jersey Shore,,,,,,,
Crawford,PA,Pennsylvania,LYCOMING,Jersey Shore,,,,,,,
Ramsey,PA,Pennsylvania,LYCOMING,Jersey Shore,,,,,,,
Larrys Creek,PA,Pennsylvania,LYCOMING,Jersey Shore,,,,,,,
Rauchtown,PA,Pennsylvania,LYCOMING,Jersey Shore,,,,,,,
Lairdsville,PA,Pennsylvania,LYCOMING,Lairdsville,,,,,,,
Level Corner,PA,Pennsylvania,LYCOMING,Linden,,,,,,,
Linden,PA,Pennsylvania,LYCOMING,Linden,,,,,,,
Pine Run,PA,Pennsylvania,LYCOMING,Linden,,,,,,,
Caldwell,PA,Pennsylvania,CLINTON,Lock Haven,,,,,,,
Swissdale,PA,Pennsylvania,CLINTON,Lock Haven,,,,,,,
Farrandsville,PA,Pennsylvania,CLINTON,Lock Haven,,,,,,,
Crestmont,PA,Pennsylvania,CLINTON,Lock Haven,,,,,,,
Flemington,PA,Pennsylvania,CLINTON,Lock Haven,,,,,,,
Lock Haven,PA,Pennsylvania,CLINTON,Lock Haven,,,,,,,
Dunnstown,PA,Pennsylvania,CLINTON,Lock Haven,,,,,,,
Haneyville,PA,Pennsylvania,CLINTON,Lock Haven,,,,,,,
Sagamore Hill,PA,Pennsylvania,CLINTON,Lock Haven,,,,,,,
Sunset Pines,PA,Pennsylvania,CLINTON,Lock Haven,,,,,,,
Booneville,PA,Pennsylvania,CLINTON,Loganton,,,,,,,
Logan Mills,PA,Pennsylvania,CLINTON,Loganton,,,,,,,
Eastville,PA,Pennsylvania,CLINTON,Loganton,,,,,,,
Rosecrans,PA,Pennsylvania,CLINTON,Loganton,,,,,,,
Tylersville,PA,Pennsylvania,CLINTON,Loganton,,,,,,,
Loganton,PA,Pennsylvania,CLINTON,Loganton,,,,,,,
Greenburr,PA,Pennsylvania,CLINTON,Loganton,,,,,,,
Mcelhattan,PA,Pennsylvania,CLINTON,Mc Elhattan,,,,,,,
Youngdale,PA,Pennsylvania,CLINTON,Mc Elhattan,,,,,,,
Mc Elhattan,PA,Pennsylvania,CLINTON,Mc Elhattan,,,,,,,
Mcewensville,PA,Pennsylvania,NORTHUMBERLAND,Mc Ewensville,,,,,,,
Mc Ewensville,PA,Pennsylvania,NORTHUMBERLAND,Mc Ewensville,,,,,,,
Mackeyville,PA,Pennsylvania,CLINTON,Mackeyville,,,,,,,
Rote,PA,Pennsylvania,CLINTON,Mill Hall,,,,,,,
Bald Eagle,PA,Pennsylvania,CLINTON,Mill Hall,,,,,,,
Mill Hall,PA,Pennsylvania,CLINTON,Mill Hall,,,,,,,
Cedar Springs,PA,Pennsylvania,CLINTON,Mill Hall,,,,,,,
Clintondale,PA,Pennsylvania,CLINTON,Mill Hall,,,,,,,
Parvin,PA,Pennsylvania,CLINTON,Mill Hall,,,,,,,
Brady,PA,Pennsylvania,LYCOMING,Montgomery,,,,,,,
Montgomery,PA,Pennsylvania,LYCOMING,Montgomery,,,,,,,
Montoursville,PA,Pennsylvania,LYCOMING,Montoursville,,,,,,,
Lyc Co Airprt,PA,Pennsylvania,LYCOMING,Montoursville,,,,,,,
Loyalsockvle,PA,Pennsylvania,LYCOMING,Montoursville,,,,,,,
Bella Vista,PA,Pennsylvania,LYCOMING,Montoursville,,,,,,,
Farragut,PA,Pennsylvania,LYCOMING,Montoursville,,,,,,,
Upper Fairfld,PA,Pennsylvania,LYCOMING,Montoursville,,,,,,,
Halls,PA,Pennsylvania,LYCOMING,Muncy,,,,,,,
Muncy Creek,PA,Pennsylvania,LYCOMING,Muncy,,,,,,,
Seagers,PA,Pennsylvania,LYCOMING,Muncy,,,,,,,
Clarkstown,PA,Pennsylvania,LYCOMING,Muncy,,,,,,,
Moreland,PA,Pennsylvania,LYCOMING,Muncy,,,,,,,
Opp,PA,Pennsylvania,LYCOMING,Muncy,,,,,,,
East Muncy,PA,Pennsylvania,LYCOMING,Muncy,,,,,,,
Huntersville,PA,Pennsylvania,LYCOMING,Muncy,,,,,,,
Pennsdale,PA,Pennsylvania,LYCOMING,Muncy,,,,,,,
Muncy,PA,Pennsylvania,LYCOMING,Muncy,,,,,,,
Hemlock Grove,PA,Pennsylvania,SULLIVAN,Muncy Valley,,,,,,,
Sonestown,PA,Pennsylvania,SULLIVAN,Muncy Valley,,,,,,,
Davidson,PA,Pennsylvania,SULLIVAN,Muncy Valley,,,,,,,
Beech Glen,PA,Pennsylvania,SULLIVAN,Muncy Valley,,,,,,,
Strawbridge,PA,Pennsylvania,SULLIVAN,Muncy Valley,,,,,,,
Muncy Valley,PA,Pennsylvania,SULLIVAN,Muncy Valley,,,,,,,
N Mountain,PA,Pennsylvania,SULLIVAN,Muncy Valley,,,,,,,
Beaver Lake,PA,Pennsylvania,SULLIVAN,Muncy Valley,,,,,,,
Nordmont,PA,Pennsylvania,SULLIVAN,Muncy Valley,,,,,,,
North Bend,PA,Pennsylvania,CLINTON,North Bend,,,,,,,
Gleasonton,PA,Pennsylvania,CLINTON,North Bend,,,,,,,
Picture Rocks,PA,Pennsylvania,LYCOMING,Picture Rocks,,,,,,,
Ralston,PA,Pennsylvania,LYCOMING,Ralston,,,,,,,
Drocton,PA,Pennsylvania,CLINTON,Renovo,,,,,,,
East Renovo,PA,Pennsylvania,CLINTON,Renovo,,,,,,,
Renovo,PA,Pennsylvania,CLINTON,Renovo,,,,,,,
Drury Run,PA,Pennsylvania,CLINTON,Renovo,,,,,,,
Farwell,PA,Pennsylvania,CLINTON,Renovo,,,,,,,
Hammersley Fk,PA,Pennsylvania,CLINTON,Renovo,,,,,,,
South Renovo,PA,Pennsylvania,CLINTON,Renovo,,,,,,,
West Renovo,PA,Pennsylvania,CLINTON,Renovo,,,,,,,
Leidy,PA,Pennsylvania,CLINTON,Renovo,,,,,,,
Noyes,PA,Pennsylvania,CLINTON,Renovo,,,,,,,
Shintown,PA,Pennsylvania,CLINTON,Renovo,,,,,,,
Roaring Brnch,PA,Pennsylvania,TIOGA,Roaring Branch,,,,,,,
Leolyn,PA,Pennsylvania,TIOGA,Roaring Branch,,,,,,,
Roaring Branch,PA,Pennsylvania,TIOGA,Roaring Branch,,,,,,,
Ogdensburg,PA,Pennsylvania,TIOGA,Roaring Branch,,,,,,,
Mcnett,PA,Pennsylvania,TIOGA,Roaring Branch,,,,,,,
Eastpoint,PA,Pennsylvania,TIOGA,Roaring Branch,,,,,,,
Salona,PA,Pennsylvania,CLINTON,Salona,,,,,,,
Fox,PA,Pennsylvania,SULLIVAN,Shunk,,,,,,,
Shunk,PA,Pennsylvania,SULLIVAN,Shunk,,,,,,,
Wheelerville,PA,Pennsylvania,SULLIVAN,Shunk,,,,,,,
Slate Run,PA,Pennsylvania,LYCOMING,Slate Run,,,,,,,
Cascade,PA,Pennsylvania,LYCOMING,Trout Run,,,,,,,
Kelleysburg,PA,Pennsylvania,LYCOMING,Trout Run,,,,,,,
Marsh Hill,PA,Pennsylvania,LYCOMING,Trout Run,,,,,,,
Pleasant Strm,PA,Pennsylvania,LYCOMING,Trout Run,,,,,,,
Calvert,PA,Pennsylvania,LYCOMING,Trout Run,,,,,,,
Fields Sta,PA,Pennsylvania,LYCOMING,Trout Run,,,,,,,
Gamble,PA,Pennsylvania,LYCOMING,Trout Run,,,,,,,
Buttonwood,PA,Pennsylvania,LYCOMING,Trout Run,,,,,,,
Cogan House,PA,Pennsylvania,LYCOMING,Trout Run,,,,,,,
Wallis Run,PA,Pennsylvania,LYCOMING,Trout Run,,,,,,,
White Pine,PA,Pennsylvania,LYCOMING,Trout Run,,,,,,,
Trout Run,PA,Pennsylvania,LYCOMING,Trout Run,,,,,,,
Schuyler,PA,Pennsylvania,NORTHUMBERLAND,Turbotville,,,,,,,
Comly,PA,Pennsylvania,NORTHUMBERLAND,Turbotville,,,,,,,
Anthony,PA,Pennsylvania,NORTHUMBERLAND,Turbotville,,,,,,,
Turbotville,PA,Pennsylvania,NORTHUMBERLAND,Turbotville,,,,,,,
Unityville,PA,Pennsylvania,LYCOMING,Unityville,,,,,,,
Biggertown,PA,Pennsylvania,LYCOMING,Unityville,,,,,,,
Richards Grv,PA,Pennsylvania,LYCOMING,Unityville,,,,,,,
Lungerville,PA,Pennsylvania,LYCOMING,Unityville,,,,,,,
Pine Village,PA,Pennsylvania,LYCOMING,Waterville,,,,,,,
English Ctr,PA,Pennsylvania,LYCOMING,Waterville,,,,,,,
Waterville,PA,Pennsylvania,LYCOMING,Waterville,,,,,,,
Cummings,PA,Pennsylvania,LYCOMING,Waterville,,,,,,,
Carsontown,PA,Pennsylvania,LYCOMING,Waterville,,,,,,,
Delaware Run,PA,Pennsylvania,NORTHUMBERLAND,Watsontown,,,,,,,
Watsontown,PA,Pennsylvania,NORTHUMBERLAND,Watsontown,,,,,,,
Goosetown,PA,Pennsylvania,NORTHUMBERLAND,Watsontown,,,,,,,
Watsonville,PA,Pennsylvania,NORTHUMBERLAND,Watsontown,,,,,,,
Cooks Run,PA,Pennsylvania,CLINTON,Westport,,,,,,,
East Keating,PA,Pennsylvania,CLINTON,Westport,,,,,,,
Westport,PA,Pennsylvania,CLINTON,Westport,,,,,,,
Keating,PA,Pennsylvania,CLINTON,Westport,,,,,,,
Bitumen,PA,Pennsylvania,CLINTON,Westport,,,,,,,
Woolrich,PA,Pennsylvania,CLINTON,Woolrich,,,,,,,
Lower Augusta,PA,Pennsylvania,NORTHUMBERLAND,Sunbury,,,,,,,
Mile Hill,PA,Pennsylvania,NORTHUMBERLAND,Sunbury,,,,,,,
Augustaville,PA,Pennsylvania,NORTHUMBERLAND,Sunbury,,,,,,,
Fishers Ferry,PA,Pennsylvania,NORTHUMBERLAND,Sunbury,,,,,,,
Klines Grove,PA,Pennsylvania,NORTHUMBERLAND,Sunbury,,,,,,,
Oaklyn,PA,Pennsylvania,NORTHUMBERLAND,Sunbury,,,,,,,
Upper Augusta,PA,Pennsylvania,NORTHUMBERLAND,Sunbury,,,,,,,
Sunbury,PA,Pennsylvania,NORTHUMBERLAND,Sunbury,,,,,,,
Mile Run,PA,Pennsylvania,NORTHUMBERLAND,Sunbury,,,,,,,
Island Park,PA,Pennsylvania,NORTHUMBERLAND,Sunbury,,,,,,,
Sevenpoints,PA,Pennsylvania,NORTHUMBERLAND,Sunbury,,,,,,,
Rockefeller,PA,Pennsylvania,NORTHUMBERLAND,Sunbury,,,,,,,
Stonington,PA,Pennsylvania,NORTHUMBERLAND,Sunbury,,,,,,,
Allenwood,PA,Pennsylvania,UNION,Allenwood,,,,,,,
Elimsport,PA,Pennsylvania,UNION,Allenwood,,,,,,,
Gregg,PA,Pennsylvania,UNION,Allenwood,,,,,,,
Beaver Springs,PA,Pennsylvania,SNYDER,Beaver Springs,,,,,,,
Middle Creek,PA,Pennsylvania,SNYDER,Beaver Springs,,,,,,,
Benfer,PA,Pennsylvania,SNYDER,Beaver Springs,,,,,,,
Beaver Spgs,PA,Pennsylvania,SNYDER,Beaver Springs,,,,,,,
Beaver Sprgs,PA,Pennsylvania,SNYDER,Beaver Springs,,,,,,,
Beavertown,PA,Pennsylvania,SNYDER,Beavertown,,,,,,,
Jamison City,PA,Pennsylvania,COLUMBIA,Benton,,,,,,,
Central,PA,Pennsylvania,COLUMBIA,Benton,,,,,,,
Derrs,PA,Pennsylvania,COLUMBIA,Benton,,,,,,,
Raven Creek,PA,Pennsylvania,COLUMBIA,Benton,,,,,,,
Coles Creek,PA,Pennsylvania,COLUMBIA,Benton,,,,,,,
Laubachs,PA,Pennsylvania,COLUMBIA,Benton,,,,,,,
Red Rock,PA,Pennsylvania,COLUMBIA,Benton,,,,,,,
Waller,PA,Pennsylvania,COLUMBIA,Benton,,,,,,,
Benton,PA,Pennsylvania,COLUMBIA,Benton,,,,,,,
Fairmount Spr,PA,Pennsylvania,COLUMBIA,Benton,,,,,,,
Talmar,PA,Pennsylvania,COLUMBIA,Benton,,,,,,,
Elk Grove,PA,Pennsylvania,COLUMBIA,Benton,,,,,,,
Lime Ridge,PA,Pennsylvania,COLUMBIA,Bloomsburg,,,,,,,
Shumans,PA,Pennsylvania,COLUMBIA,Bloomsburg,,,,,,,
Buckhorn,PA,Pennsylvania,COLUMBIA,Bloomsburg,,,,,,,
Espy,PA,Pennsylvania,COLUMBIA,Bloomsburg,,,,,,,
Mainville,PA,Pennsylvania,COLUMBIA,Bloomsburg,,,,,,,
Almedia,PA,Pennsylvania,COLUMBIA,Bloomsburg,,,,,,,
Fernville,PA,Pennsylvania,COLUMBIA,Bloomsburg,,,,,,,
Jerseytown,PA,Pennsylvania,COLUMBIA,Bloomsburg,,,,,,,
Mordansville,PA,Pennsylvania,COLUMBIA,Bloomsburg,,,,,,,
Rupert,PA,Pennsylvania,COLUMBIA,Bloomsburg,,,,,,,
Bloomsburg,PA,Pennsylvania,COLUMBIA,Bloomsburg,,,,,,,
Mayberry,PA,Pennsylvania,COLUMBIA,Catawissa,,,,,,,
Kulp,PA,Pennsylvania,COLUMBIA,Catawissa,,,,,,,
Queen City,PA,Pennsylvania,COLUMBIA,Catawissa,,,,,,,
Parrs Mill,PA,Pennsylvania,COLUMBIA,Catawissa,,,,,,,
Locust,PA,Pennsylvania,COLUMBIA,Catawissa,,,,,,,
